Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi
SAM14,SAM,14,Panama,280.5,10.5,280.2,13.2,281.5,2.5,173.0,1,SS,-999,CARIBBEAN,NAZCA,PANAMA,Argus et al. (2011),35.0,247.0,74.0,10.0,11.0,180.0,7.0,11.0,33.0,266.0,92.0,-1.0,-999.0,-999.0,-999.0,-999.0
SAM15,SAM,15,Panama,282.0,10.4,283.8,12.5,276.8,4.2,220.0,1,C-SS,-999,CARIBBEAN,NAZCA,PANAMA,Argus et al. (2011),36.0,246.0,26.0,32.0,11.0,180.0,40.0,9.0,33.0,264.0,34.0,27.0,-999.0,-999.0,130.0,-999.0
SAM16,SAM,16,Venezuela,283.5,10.0,280.4,10.7,290.9,7.8,105.0,1,C-SS,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),20.0,89.0,16.0,19.0,3.0,95.0,10.0,3.0,17.0,88.0,18.0,16.0,-999.0,-999.0,131.0,-999.0
SAM17,SAM,17,Venezuela,285.0,12.2,283.0,14.1,290.7,6.4,135.0,1,SS-C,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),19.0,87.0,48.0,13.0,4.0,149.0,14.0,4.0,18.0,75.0,61.0,9.0,-999.0,-999.0,-999.0,-999.0
SAM18,SAM,18,Venezuela,287.0,13.4,285.6,15.7,291.2,6.4,149.0,1,SS-C,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),19.0,85.0,64.0,8.0,2.0,131.0,18.0,2.0,18.0,82.0,68.0,7.0,-999.0,-999.0,144.0,-999.0
SAM19,SAM,19,Venezuela,289.0,13.8,289.0,16.5,289.1,5.7,179.0,1,SS,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),19.0,84.0,95.0,-2.0,1.0,90.0,89.0,0.0,18.0,83.0,96.0,-2.0,-999.0,-999.0,149.0,-999.0
SAM2,SAM,2,Central America,256.0,17.9,254.3,15.7,261.3,24.3,37.4,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",59.0,32.0,5.0,59.0,65.0,23.0,14.0,63.0,11.0,149.0,112.0,-4.0,34.0,51.0,3.0,126.0
SAM20,SAM,20,Venezuela,291.0,13.5,291.0,16.2,291.0,5.4,180.0,1,SS,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),19.0,82.0,98.0,-3.0,2.0,48.0,133.0,-1.0,18.0,85.0,95.0,-2.0,-999.0,-999.0,149.0,-999.0
SAM21,SAM,21,Venezuela,293.0,13.1,293.2,15.8,292.3,5.0,185.0,1,SS,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),19.0,80.0,105.0,-5.0,3.0,33.0,152.0,-2.0,18.0,86.0,99.0,-3.0,-999.0,-999.0,150.0,-999.0
SAM22,SAM,22,Muertos,290.0,17.3,289.1,14.7,292.9,24.9,19.0,1,SS-C,-999,CARIBBEAN,NORTH_AMERICA,HISPANIOLA,Calais et al. (2023),20.0,73.0,54.0,12.0,7.0,41.0,22.0,6.0,15.0,88.0,69.0,5.0,-999.0,-999.0,146.0,-999.0
SAM23,SAM,23,Muertos,292.0,17.2,291.8,14.5,292.6,25.3,4.0,1,SS-C,-999,CARIBBEAN,NORTH_AMERICA,PUERTO-RICO,Calais et al. (2023),20.0,73.0,69.0,7.0,3.0,45.0,41.0,2.0,18.0,77.0,73.0,5.0,-999.0,-999.0,145.0,-999.0
SAM24,SAM,24,Muertos,294.0,17.2,293.9,14.5,294.3,25.3,2.0,1,SS-C,-999,CARIBBEAN,NORTH_AMERICA,PUERTO-RICO,Calais et al. (2023),20.0,73.0,71.0,6.0,2.0,72.0,70.0,1.0,18.0,73.0,71.0,6.0,-999.0,-999.0,150.0,-999.0
