lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
172.060552,-23.168475,801,827,8.464054,55.597542,7.665891,65.412068,3.189695,6.970777,-1.319190,-5.856824,1.319190,-5.856824,32.063911,55.597542,11,3967.120756,oceanic
171.532379,-23.050130,801,827,13.800192,55.597542,7.706582,59.751036,3.882255,6.657290,-0.753875,-5.950875,0.753928,-5.951301,32.427174,111.195084,11,3967.120756,oceanic
171.005151,-22.929988,801,827,14.006113,55.597542,7.748143,59.228498,3.964071,6.657317,-0.717415,-5.950902,0.717464,-5.951301,32.159687,166.792626,11,3967.120756,oceanic
170.486704,-22.791212,801,827,32.102862,55.597542,7.792770,40.833959,5.896069,5.095452,1.180908,-5.873933,-1.180910,-5.873942,33.277126,222.390167,11,3967.120756,oceanic
170.069500,-22.475545,801,827,43.235740,55.597542,7.859872,29.533751,6.838603,3.874415,2.313435,-5.539081,-2.313561,-5.539380,36.330524,277.987709,11,3967.120756,oceanic
169.676254,-22.132569,801,827,43.384986,55.597542,7.929997,29.246198,6.919148,3.874306,2.349681,-5.538971,-2.349854,-5.539380,,333.585251,11,3967.120756,oceanic
169.284922,-21.788655,801,827,43.531333,55.597542,8.000218,28.967543,6.999344,3.874618,2.385927,-5.539283,-2.385969,-5.539380,,389.182793,11,3967.120756,oceanic
168.994708,-21.371211,801,827,59.997921,55.597542,8.076061,12.456286,7.885957,1.741963,3.884883,-4.640827,-3.885271,-4.641287,,444.780335,11,3967.120756,oceanic
168.727019,-20.937996,801,827,60.094528,55.597542,8.152887,12.335367,7.964669,1.741729,3.920284,-4.640592,-3.920871,-4.641287,,500.377877,11,3967.120756,oceanic
168.460874,-20.504365,801,827,60.188696,55.597542,8.229523,12.219565,8.043073,1.741849,3.955685,-4.640711,-3.956173,-4.641287,38.765285,555.975419,11,3967.120756,oceanic
168.196233,-20.070332,801,827,60.280455,55.597542,8.305962,12.108735,8.121165,1.742322,3.991086,-4.641184,-3.991174,-4.641287,36.170238,611.572960,11,3967.120756,oceanic
167.951989,-19.627735,801,827,69.141913,55.597542,8.381686,3.240077,8.368288,0.473732,4.686997,-3.973758,-4.687125,-3.973866,33.397007,587.418340,11,3967.120756,oceanic
