time_Ma,lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,bab_on,dist_to_backarc_ridge_km,backarc_spreading_cm_yr,dilat_rate_1e-15_s,dilat_in_network
0.000000,-154.981965,55.579093,901,111,314.752774,55.597542,5.540836,12.205601,5.415587,1.171445,0.676408,-2.061380,-0.676415,-2.061399,,833.963128,38,10186.753245,0,,,0.000000,0.000000
0.000000,-154.347783,55.929275,901,111,316.070904,55.597542,5.491334,11.518348,5.380743,1.096519,0.702458,-2.051809,-0.702469,-2.051841,,778.365586,38,10186.753245,0,,,0.000000,0.000000
0.000000,-153.709269,56.280144,901,111,314.264423,55.597542,5.441512,13.968948,5.280589,1.313559,0.615690,-2.078534,-0.615743,-2.078711,,722.768044,38,10186.753245,0,,,0.000000,0.000000
0.000000,-153.074685,56.636598,901,111,314.793344,55.597542,5.391499,14.097429,5.229123,1.313216,0.613046,-2.078190,-0.613199,-2.078711,,667.170502,38,10186.753245,0,,,0.000000,0.000000
0.000000,-152.428051,56.989762,901,111,315.334510,55.597542,5.341212,14.230888,5.177306,1.313030,0.610402,-2.078005,-0.610609,-2.078711,,611.572960,38,10186.753245,0,,,0.000000,0.000000
0.000000,-151.769090,57.339528,901,111,315.888195,55.597542,5.290657,14.369479,5.125142,1.313003,0.607758,-2.077978,-0.607973,-2.078711,,555.975419,38,10186.753245,0,,,0.000000,0.000000
0.000000,-151.097521,57.685784,901,111,316.454674,55.597542,5.239840,14.513362,5.072633,1.313134,0.605114,-2.078109,-0.605290,-2.078711,,500.377877,38,10186.753245,0,,,0.000000,0.000000
0.000000,-150.413064,58.028417,901,111,317.034224,55.597542,5.188768,14.662703,5.019784,1.313424,0.602470,-2.078398,-0.602561,-2.078711,,444.780335,38,10186.753245,0,,,0.000000,0.000000
0.000000,-149.709324,58.363658,901,111,319.717037,55.597542,5.137172,12.724521,5.011005,1.131532,0.674959,-2.055343,-0.675007,-2.055490,,389.182793,38,10186.753245,0,,,0.000000,0.000000
0.000000,-148.975433,58.684858,901,111,320.342949,55.597542,5.084566,12.853230,4.957163,1.131084,0.671989,-2.054895,-0.672182,-2.055490,,333.585251,38,10186.753245,0,,,0.000000,0.000000
0.000000,-148.227983,59.001805,901,111,320.982589,55.597542,5.031703,12.987200,4.902994,1.130792,0.669018,-2.054603,-0.669306,-2.055490,,277.987709,38,10186.753245,0,,,0.000000,0.000000
0.000000,-147.466739,59.314369,901,111,321.636187,55.597542,4.978590,13.126611,4.848503,1.130656,0.666048,-2.054467,-0.666379,-2.055490,,222.390167,38,10186.753245,0,,,0.000000,0.000000
0.000000,-146.691471,59.622412,901,111,322.303968,55.597542,4.925233,13.271651,4.793693,1.130677,0.663077,-2.054488,-0.663401,-2.055490,,166.792626,38,10186.753245,0,,,0.000000,0.000000
0.000000,-145.901961,59.925794,901,111,322.986147,55.597542,4.871639,13.422517,4.738569,1.130854,0.660107,-2.054665,-0.660373,-2.055490,,111.195084,38,10186.753245,0,,,0.000000,0.000000
0.000000,-145.097996,60.224372,901,111,323.682933,55.597542,4.817814,13.579414,4.683134,1.131188,0.657136,-2.054999,-0.657294,-2.055490,,55.597542,38,10186.753245,0,,,0.000000,0.000000
0.000000,-144.279374,60.517998,901,111,324.394522,27.798771,4.763765,13.742558,4.627392,1.131679,0.654166,-2.055490,-0.654166,-2.055490,,0.000000,38,10186.753245,0,,,0.000000,0.000000
0.000000,-134.457065,54.266816,901,901,50.958429,27.798771,0.000000,0.000000,0.000000,0.000000,0.955021,-4.120762,-0.955021,-4.120762,14.693524,0.000000,17,336.128622,0,,,0.000000,0.000000
0.000000,-133.719444,54.035505,901,901,22.811891,55.597542,0.000208,-75.173382,0.000053,-0.000201,-1.093545,-4.077071,1.093598,-4.077272,12.847174,55.597542,17,336.128622,0,,,0.000000,0.000000
0.000000,-132.938330,53.839111,901,901,23.443327,55.597542,0.000180,-75.401700,0.000045,-0.000174,-1.041445,-4.077098,1.041490,-4.077272,11.751757,111.195084,17,336.128622,0,,,0.000000,0.000000
0.000000,-132.209046,53.595016,901,901,39.346351,55.597542,-0.000128,-92.099314,-0.000005,-0.000128,0.123428,-4.198845,-0.123433,-4.198973,,166.792626,17,336.128622,0,,,0.000000,0.000000
0.000000,-131.562400,53.276259,901,901,39.865734,55.597542,-0.000249,-92.336320,-0.000010,-0.000248,0.175611,-4.198725,-0.175621,-4.198973,,121.009957,17,336.128622,0,,,0.000000,0.000000
0.000000,-130.925377,52.954056,901,901,40.375256,55.597542,-0.000049,-92.573225,-0.000002,-0.000049,0.227794,-4.198924,-0.227796,-4.198973,,65.412415,17,336.128622,0,,,0.000000,0.000000
0.000000,-130.745535,51.516318,903,12001,43.791698,43.453053,3.551168,24.153588,3.240270,1.453081,1.009570,-0.642670,-1.009572,-0.642671,0.574735,11.293305,33,1290.036767,0,,,0.000000,0.000000
0.000000,-130.252805,52.663496,901,901,35.068652,30.342141,0.000006,-87.777646,0.000000,-0.000006,-0.148673,-4.201028,0.148674,-4.201034,,9.814874,17,336.128622,0,,,0.000000,0.000000
0.000000,-130.123420,51.210405,903,12001,50.847628,51.236565,3.608389,17.061129,3.449592,1.058672,1.131591,-0.510837,-1.131593,-0.510838,0.394888,66.890847,33,1290.036767,0,,,0.000000,0.000000
0.000000,-129.680950,50.797407,903,12001,46.970303,55.597542,3.673066,21.066734,3.427567,1.320302,1.146954,-0.601835,-1.146956,-0.601836,0.239691,122.488388,33,1290.036767,0,,,-1.242139,1.000000
0.000000,-129.059892,50.497882,903,12001,30.583977,55.597542,3.729281,37.415321,2.961990,2.265867,0.978892,-0.915504,-0.978894,-0.915505,1.595111,178.085930,33,1290.036767,0,,,-1.233900,1.000000
