time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
6.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,22,22,119.2145345,10054.730844,715.0255445,143.874425,29.4088335,0,0,1.0,1
6.0,Japan,N,Japan_post_opening_neutral,26,26,115.51952,10054.730844,381.4402935,143.0225455,38.141231000000005,0,0,1.0,1
6.0,Mariana,E,Mariana_Trough,33,30,132.066803,10054.730844,500.377877,146.824773,17.058164,1,0,1.0,1
6.0,NewHebrides,E,North_Fiji_Basin,19,18,30.4892625,2052.869173,222.390167,168.59548,-12.352581,1,0,0.0,1
6.0,Ryukyu,E,Okinawa_Trough_phase1,25,25,60.933865,2100.382729,304.15279,127.482535,27.69966,1,0,1.0,1
6.0,Scotia,E,East_Scotia_Ridge,13,13,47.307831,680.902111,166.792626,-30.288581,-58.330041,1,0,0.0,1
6.0,Tonga,E,Lau_Basin,36,15,15.769507,4991.848346,614.2176179999999,-177.18078350000002,-18.158958,1,0,0.0,1
7.0,Andes,C,Central_Andes_shortening,46,46,62.1612585,7240.358419,1537.7734535,-72.3890205,-20.87298,0,1,1.0,0
7.0,Calabria,E,Tyrrhenian_Calabria,27,4,225.80335250000002,6685.013111,234.294323,16.560963,39.174255,1,0,1.0,1
7.0,Cascadia,N,Cascadia_no_backarc,29,20,7.6121929999999995,1487.852312,191.351886,-123.994644,46.363114,0,0,0.0,1
7.0,Hellenic,E,Aegean_rifting,21,21,250.347946,6685.013111,667.170502,24.103773,33.752037,1,0,1.0,1
7.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,22,22,116.556366,10056.593527,708.0749835,143.6906275,29.2822935,0,0,1.0,1
7.0,Japan,N,Japan_post_opening_neutral,24,24,113.9683835,10056.593527,346.6909615,142.713785,38.1336205,0,0,1.0,1
7.0,Mariana,E,Mariana_Trough,31,27,134.026138,10056.593527,500.377877,147.022814,17.223253,1,0,1.0,1
7.0,NewHebrides,E,North_Fiji_Basin,17,17,41.726639,1956.369684,222.390167,167.889455,-12.384759,1,0,0.0,1
7.0,Ryukyu,E,Okinawa_Trough_phase1,25,25,60.355461,2067.981448,308.20106,127.090813,27.87173,1,0,1.0,1
7.0,Scotia,E,East_Scotia_Ridge,12,12,46.1493815,636.82383,151.6192895,-31.2501385,-58.510566,1,0,0.0,1
8.0,Andes,C,Central_Andes_shortening,46,46,66.90477,7480.042439,1533.829964,-72.399789,-20.6061445,0,1,1.0,0
8.0,Calabria,E,Tyrrhenian_Calabria,25,3,224.258774,6656.529357,256.580436,16.772469,39.172196,1,0,1.0,1
8.0,Cascadia,N,Cascadia_no_backarc,29,20,7.9500675,1537.987681,281.024499,-123.636293,46.136183,0,0,0.0,1
8.0,Hellenic,E,Aegean_rifting,22,21,244.499878,6656.529357,654.471573,23.9339705,33.677937,1,0,1.0,1
8.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,114.571671,10073.222819,689.396205,143.473738,29.473075,0,0,1.0,1
8.0,Japan,N,Japan_post_opening_neutral,22,22,105.3707355,10073.222819,316.8993315,142.3599715,38.1649155,0,0,1.0,1
8.0,Mariana,N,IBM_post_PV_gap,31,27,132.020889,10073.222819,500.377877,147.312417,17.206384,0,0,1.0,1
8.0,NewHebrides,E,North_Fiji_Basin,17,17,41.531181,1658.724937,333.585251,167.635081,-12.430408,1,0,0.0,1
8.0,Ryukyu,E,Okinawa_Trough_phase1,22,22,61.244981499999994,2035.832672,316.2939195,126.903112,28.253231999999997,1,0,1.0,1
8.0,Scotia,E,East_Scotia_Ridge,11,10,44.61347550000001,554.870153,137.888589,-32.12754,-58.682353,1,0,0.0,1
9.0,Andes,C,Central_Andes_shortening,46,46,69.803383,7423.704652,1530.0103605,-72.410656,-20.777103,0,1,1.0,0
9.0,Calabria,E,Tyrrhenian_Calabria,21,2,224.834694,6624.666501,232.906443,16.838329,38.988895,1,0,1.0,1
9.0,Cascadia,N,Cascadia_no_backarc,29,19,8.249659,1601.273117,294.372548,-123.239784,45.797042,0,0,0.0,1
9.0,Hellenic,E,Aegean_rifting,22,20,238.1737745,6624.666501,609.651342,24.017089499999997,33.672402500000004,1,0,1.0,1
9.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,110.53093,10081.398691,713.397913,143.280953,29.414186,0,0,1.0,1
9.0,Japan,N,Japan_post_opening_neutral,20,20,97.42939799999999,10081.398691,301.10141450000003,142.021048,38.199869,0,0,1.0,1
9.0,Mariana,N,IBM_post_PV_gap,30,26,129.33225249999998,10081.398691,517.5136255,147.612586,17.391754,0,0,1.0,1
9.0,NewHebrides,E,North_Fiji_Basin,15,15,49.149086,1559.56607,444.780335,167.351257,-12.732292,1,0,0.0,1
9.0,Ryukyu,E,Okinawa_Trough_phase1,23,23,62.52816,2002.043521,288.04364,126.441652,28.189446,1,0,1.0,1
9.0,Scotia,E,East_Scotia_Ridge,8,8,43.593254,441.16571,109.3877715,-32.809025500000004,-58.5293915,1,0,0.0,1
10.0,Andes,C,Central_Andes_shortening,45,45,71.44751,7617.936628,1551.495408,-72.36746,-20.742243,0,1,1.0,0
10.0,Calabria,E,Tyrrhenian_Calabria,19,2,223.2573395,6442.695019,232.906443,16.857962,39.382944,1,0,1.0,1
10.0,Cascadia,N,Cascadia_no_backarc,29,19,8.638556,1659.707684,298.699802,-123.029496,45.988554,0,0,0.0,1
10.0,Hellenic,E,Aegean_rifting,23,21,233.577698,6442.695019,611.57296,23.770459,33.599414,1,0,1.0,1
10.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,107.072594,10103.451819,722.768044,143.100702,29.356133,0,0,1.0,1
10.0,Japan,N,Japan_post_opening_neutral,19,19,94.569374,10103.451819,286.688249,141.66696,38.182919,0,0,1.0,1
10.0,Mariana,N,IBM_post_PV_gap,30,26,127.3089445,10103.451819,461.916084,147.6010385,17.3235085,0,0,1.0,1
10.0,NewHebrides,E,North_Fiji_Basin,15,15,57.116604,1486.712185,555.975419,167.08409,-12.886056,1,0,1.0,1
10.0,Ryukyu,E,Okinawa_Trough_phase1,21,21,60.242863,1968.305254,286.545064,126.550712,28.702408,1,0,1.0,1
10.0,Scotia,E,East_Scotia_Ridge,9,9,52.428257,432.603749,111.195084,-33.378116,-58.262114,1,0,0.0,1
11.0,Andes,C,Central_Andes_shortening,45,45,71.578781,7074.15321,1545.830675,-72.335782,-20.830244,0,1,1.0,0
